title,artist,top genre,year,bpm,energy,danceability,dB,liveness,valence,duration,acousticness,speechiness ,popularity
"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)",Pitbull,dance pop,2011,129,94,67,-3,30,53,252,19,16,84
Pumped Up Kicks,Foster The People,indietronica,2011,128,71,73,-6,10,97,240,14,3,84
Love You Like A Love Song,Selena Gomez & The Scene,pop,2011,117,68,86,-4,7,92,188,8,5,83
Rolling in the Deep,Adele,british soul,2011,105,77,73,-5,5,51,228,14,3,83
Someone Like You,Adele,british soul,2011,135,32,56,-8,10,29,285,89,3,83
Stereo Hearts (feat. Adam Levine),Gym Class Heroes,dance pop,2011,90,80,65,-3,27,80,211,3,10,83
A Thousand Years,Christina Perri,pop,2011,139,41,42,-7,11,16,285,31,3,82
Levels - Radio Edit,Avicii,edm,2011,126,89,58,-6,31,46,200,5,3,82
Glad You Came,The Wanted,boy band,2011,127,85,72,-4,11,45,198,3,6,80
On The Floor,Jennifer Lopez,dance pop,2011,130,78,73,-5,7,57,285,11,5,80
Tongue Tied,GROUPLOVE,indie rock,2011,113,94,56,-6,16,37,218,1,4,80
When I Was Your Man,Bruno Mars,dance pop,2012,73,28,61,-9,9,39,214,93,4,89
Locked out of Heaven,Bruno Mars,dance pop,2012,144,70,73,-4,31,87,233,5,4,88
Demons,Imagine Dragons,modern rock,2012,90,71,51,-3,27,43,178,19,3,86
Lost,Frank Ocean,lgbtq+ hip hop,2012,123,60,91,-5,17,50,234,3,23,86
What Makes You Beautiful,One Direction,boy band,2012,125,79,73,-2,6,89,200,1,7,86
Payphone,Maroon 5,pop,2012,110,75,74,-5,29,55,231,2,4,85
Call Me Maybe,Carly Rae Jepsen,canadian pop,2012,120,58,78,-7,11,66,193,1,4,83
Can't Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis,pop rap,2012,146,92,64,-4,9,85,258,3,8,83
Don't You Worry Child - Radio Edit,Swedish House Mafia,edm,2012,129,84,61,-3,12,44,213,11,5,83
Feel So Close - Radio Edit,Calvin Harris,dance pop,2012,128,92,71,-3,20,92,206,0,3,83
Just Give Me a Reason (feat. Nate Ruess),P!nk,dance pop,2012,95,55,78,-7,13,44,243,35,5,83
Timber (feat. Ke$ha),Pitbull,dance pop,2012,130,96,58,-4,14,79,204,3,10,83
Titanium (feat. Sia),David Guetta,big room,2012,126,79,60,-4,13,30,245,7,10,83
Classic,MKTO,pop,2012,102,79,72,-5,16,76,175,4,12,82
Treasure,Bruno Mars,dance pop,2012,116,69,87,-5,32,94,179,4,4,82
Another Love,Tom Odell,chill pop,2013,123,54,45,-9,9,13,244,70,4,92
Sweater Weather,The Neighbourhood,modern alternative rock,2013,124,81,61,-3,10,40,240,5,3,91
Do I Wanna Know?,Arctic Monkeys,garage rock,2013,85,53,55,-8,22,41,272,19,3,89
Why'd You Only Call Me When You're High?,Arctic Monkeys,garage rock,2013,92,63,69,-6,10,80,161,5,4,88
Wake Me Up,Avicii,edm,2013,124,78,53,-6,16,64,247,0,5,87
All of Me,John Legend,neo soul,2013,120,26,42,-7,13,33,270,92,3,86
Counting Stars,OneRepublic,piano rock,2013,122,71,66,-5,12,48,257,7,4,86
Safe And Sound,Capital Cities,metropopolis,2013,118,82,66,-5,10,77,193,0,3,84
Story of My Life,One Direction,boy band,2013,121,66,60,-6,12,29,245,23,5,84
